,gene_id,gene_name,Type
IP6K1,ENSG00000176095,IP6K1,Gene Expression
INKA1,ENSG00000185614,INKA1,Gene Expression
TRAIP,ENSG00000183763,TRAIP,Gene Expression
MON1A,ENSG00000164077,MON1A,Gene Expression
RBM6,ENSG00000004534,RBM6,Gene Expression
RBM5,ENSG00000003756,RBM5,Gene Expression
GNAI2,ENSG00000114353,GNAI2,Gene Expression
IFRD2,ENSG00000214706,IFRD2,Gene Expression
HYAL3,ENSG00000186792,HYAL3,Gene Expression
NAA80,ENSG00000243477,NAA80,Gene Expression
HYAL1,ENSG00000114378,HYAL1,Gene Expression
HYAL2,ENSG00000068001,HYAL2,Gene Expression
TUSC2,ENSG00000114383,TUSC2,Gene Expression
RASSF1,ENSG00000068028,RASSF1,Gene Expression
RASSF1-AS1,ENSG00000281358,RASSF1-AS1,Gene Expression
NPRL2,ENSG00000114388,NPRL2,Gene Expression
CYB561D2,ENSG00000114395,CYB561D2,Gene Expression
TMEM115,ENSG00000126062,TMEM115,Gene Expression
HEMK1,ENSG00000114735,HEMK1,Gene Expression
CISH,ENSG00000114737,CISH,Gene Expression
MAPKAPK3,ENSG00000114738,MAPKAPK3,Gene Expression
ENSG00000288988,ENSG00000288988,ENSG00000288988,Gene Expression
MANF,ENSG00000145050,MANF,Gene Expression
RBM15B,ENSG00000259956,RBM15B,Gene Expression
DCAF1,ENSG00000145041,DCAF1,Gene Expression
RAD54L2,ENSG00000164080,RAD54L2,Gene Expression
TEX264,ENSG00000164081,TEX264,Gene Expression
RRP9,ENSG00000114767,RRP9,Gene Expression
PARP3,ENSG00000041880,PARP3,Gene Expression
PCBP4,ENSG00000090097,PCBP4,Gene Expression
ABHD14B,ENSG00000114779,ABHD14B,Gene Expression
ABHD14A,ENSG00000248487,ABHD14A,Gene Expression
ACY1,ENSG00000243989,ACY1,Gene Expression
RPL29,ENSG00000162244,RPL29,Gene Expression
DUSP7,ENSG00000164086,DUSP7,Gene Expression
POC1A,ENSG00000164087,POC1A,Gene Expression
ALAS1,ENSG00000023330,ALAS1,Gene Expression
TWF2,ENSG00000247596,TWF2,Gene Expression
TWF2-DT,ENSG00000243224,TWF2-DT,Gene Expression
WDR82,ENSG00000164091,WDR82,Gene Expression
GLYCTK,ENSG00000168237,GLYCTK,Gene Expression
BAP1,ENSG00000163930,BAP1,Gene Expression
PHF7,ENSG00000010318,PHF7,Gene Expression
NISCH,ENSG00000010322,NISCH,Gene Expression
NT5DC2,ENSG00000168268,NT5DC2,Gene Expression
UQCC5,ENSG00000168273,UQCC5,Gene Expression
PBRM1,ENSG00000163939,PBRM1,Gene Expression
GNL3,ENSG00000163938,GNL3,Gene Expression
GLT8D1,ENSG00000016864,GLT8D1,Gene Expression
SPCS1,ENSG00000114902,SPCS1,Gene Expression
NEK4,ENSG00000114904,NEK4,Gene Expression
STIMATE,ENSG00000213533,STIMATE,Gene Expression
SFMBT1,ENSG00000163935,SFMBT1,Gene Expression
RFT1,ENSG00000163933,RFT1,Gene Expression
PRKCD,ENSG00000163932,PRKCD,Gene Expression
TKT,ENSG00000163931,TKT,Gene Expression
DCP1A,ENSG00000272886,DCP1A,Gene Expression
ACTR8,ENSG00000113812,ACTR8,Gene Expression
SELENOK,ENSG00000113811,SELENOK,Gene Expression
CCDC66,ENSG00000180376,CCDC66,Gene Expression
TASOR,ENSG00000163946,TASOR,Gene Expression
ARHGEF3,ENSG00000163947,ARHGEF3,Gene Expression
HESX1,ENSG00000163666,HESX1,Gene Expression
APPL1,ENSG00000157500,APPL1,Gene Expression
DNAH12,ENSG00000174844,DNAH12,Gene Expression
PDE12,ENSG00000174840,PDE12,Gene Expression
ARF4,ENSG00000168374,ARF4,Gene Expression
ARF4-AS1,ENSG00000272146,ARF4-AS1,Gene Expression
DENND6A,ENSG00000174839,DENND6A,Gene Expression
SLMAP,ENSG00000163681,SLMAP,Gene Expression
FLNB,ENSG00000136068,FLNB,Gene Expression
ABHD6,ENSG00000163686,ABHD6,Gene Expression
RPP14,ENSG00000163684,RPP14,Gene Expression
HTD2,ENSG00000255154,HTD2,Gene Expression
PXK,ENSG00000168297,PXK,Gene Expression
PDHB,ENSG00000168291,PDHB,Gene Expression
KCTD6,ENSG00000168301,KCTD6,Gene Expression
CFAP20DC,ENSG00000163689,CFAP20DC,Gene Expression
CFAP20DC-AS1,ENSG00000242428,CFAP20DC-AS1,Gene Expression
FHIT,ENSG00000189283,FHIT,Gene Expression
THOC7,ENSG00000163634,THOC7,Gene Expression
ATXN7,ENSG00000163635,ATXN7,Gene Expression
PSMD6,ENSG00000163636,PSMD6,Gene Expression
MAGI1,ENSG00000151276,MAGI1,Gene Expression
SLC25A26,ENSG00000144741,SLC25A26,Gene Expression
KBTBD8,ENSG00000163376,KBTBD8,Gene Expression
SUCLG2,ENSG00000172340,SUCLG2,Gene Expression
EOGT,ENSG00000163378,EOGT,Gene Expression
TMF1,ENSG00000144747,TMF1,Gene Expression
UBA3,ENSG00000144744,UBA3,Gene Expression
ARL6IP5,ENSG00000144746,ARL6IP5,Gene Expression
MITF,ENSG00000187098,MITF,Gene Expression
SAMMSON,ENSG00000240405,SAMMSON,Gene Expression
FOXP1,ENSG00000114861,FOXP1,Gene Expression
EIF4E3,ENSG00000163412,EIF4E3,Gene Expression
LINC00877,ENSG00000241163,LINC00877,Gene Expression
LINC00870,ENSG00000243083,LINC00870,Gene Expression
RYBP,ENSG00000163602,RYBP,Gene Expression
ENSG00000287595,ENSG00000287595,ENSG00000287595,Gene Expression
SHQ1,ENSG00000144736,SHQ1,Gene Expression
GXYLT2,ENSG00000172986,GXYLT2,Gene Expression
PPP4R2,ENSG00000163605,PPP4R2,Gene Expression
CNTN3,ENSG00000113805,CNTN3,Gene Expression
FAM86DP,ENSG00000291223,FAM86DP,Gene Expression
LINC02018,ENSG00000272690,LINC02018,Gene Expression
ZNF717,ENSG00000227124,ZNF717,Gene Expression
ROBO2,ENSG00000185008,ROBO2,Gene Expression
ENSG00000286329,ENSG00000286329,ENSG00000286329,Gene Expression
ENSG00000242828,ENSG00000242828,ENSG00000242828,Gene Expression
LINC02050,ENSG00000242781,LINC02050,Gene Expression
GBE1,ENSG00000114480,GBE1,Gene Expression
LINC02008,ENSG00000239440,LINC02008,Gene Expression
CADM2,ENSG00000175161,CADM2,Gene Expression
CHMP2B,ENSG00000083937,CHMP2B,Gene Expression
ENSG00000239572,ENSG00000239572,ENSG00000239572,Gene Expression
HTR1F,ENSG00000179097,HTR1F,Gene Expression
CGGBP1,ENSG00000163320,CGGBP1,Gene Expression
ZNF654,ENSG00000175105,ZNF654,Gene Expression
C3orf38,ENSG00000179021,C3orf38,Gene Expression
PROS1,ENSG00000184500,PROS1,Gene Expression
ARL13B,ENSG00000169379,ARL13B,Gene Expression
DHFR2,ENSG00000178700,DHFR2,Gene Expression
NSUN3,ENSG00000178694,NSUN3,Gene Expression
LINC00879,ENSG00000239589,LINC00879,Gene Expression
ARL6,ENSG00000113966,ARL6,Gene Expression
CRYBG3,ENSG00000080200,CRYBG3,Gene Expression
RIOX2,ENSG00000170854,RIOX2,Gene Expression
CLDND1,ENSG00000080822,CLDND1,Gene Expression
CPOX,ENSG00000080819,CPOX,Gene Expression
DCBLD2,ENSG00000057019,DCBLD2,Gene Expression
ENSG00000239462,ENSG00000239462,ENSG00000239462,Gene Expression
LINC00973,ENSG00000240476,LINC00973,Gene Expression
CMSS1,ENSG00000184220,CMSS1,Gene Expression
FILIP1L,ENSG00000168386,FILIP1L,Gene Expression
TBC1D23,ENSG00000036054,TBC1D23,Gene Expression
NIT2,ENSG00000114021,NIT2,Gene Expression
TOMM70,ENSG00000154174,TOMM70,Gene Expression
LNP1,ENSG00000206535,LNP1,Gene Expression
TMEM45A,ENSG00000181458,TMEM45A,Gene Expression
TFG,ENSG00000114354,TFG,Gene Expression
SENP7,ENSG00000138468,SENP7,Gene Expression
TRMT10C,ENSG00000174173,TRMT10C,Gene Expression
PCNP,ENSG00000081154,PCNP,Gene Expression
ZBTB11,ENSG00000066422,ZBTB11,Gene Expression
ZBTB11-AS1,ENSG00000256628,ZBTB11-AS1,Gene Expression
RPL24,ENSG00000114391,RPL24,Gene Expression
CEP97,ENSG00000182504,CEP97,Gene Expression
NFKBIZ,ENSG00000144802,NFKBIZ,Gene Expression
CBLB,ENSG00000114423,CBLB,Gene Expression
BBX,ENSG00000114439,BBX,Gene Expression
CD47,ENSG00000196776,CD47,Gene Expression
LINC01215,ENSG00000271856,LINC01215,Gene Expression
IFT57,ENSG00000114446,IFT57,Gene Expression
CIP2A,ENSG00000163507,CIP2A,Gene Expression
DZIP3,ENSG00000198919,DZIP3,Gene Expression
MORC1,ENSG00000114487,MORC1,Gene Expression
CD96,ENSG00000153283,CD96,Gene Expression
ABHD10,ENSG00000144827,ABHD10,Gene Expression
C3orf52,ENSG00000114529,C3orf52,Gene Expression
ATG3,ENSG00000144848,ATG3,Gene Expression
SLC35A5,ENSG00000138459,SLC35A5,Gene Expression
CCDC80,ENSG00000091986,CCDC80,Gene Expression
GTPBP8,ENSG00000163607,GTPBP8,Gene Expression
NEPRO,ENSG00000163608,NEPRO,Gene Expression
CFAP44,ENSG00000206530,CFAP44,Gene Expression
SPICE1,ENSG00000163611,SPICE1,Gene Expression
USF3,ENSG00000176542,USF3,Gene Expression
NAA50,ENSG00000121579,NAA50,Gene Expression
ATP6V1A,ENSG00000114573,ATP6V1A,Gene Expression
CCDC191,ENSG00000163617,CCDC191,Gene Expression
QTRT2,ENSG00000151576,QTRT2,Gene Expression
ZBTB20,ENSG00000181722,ZBTB20,Gene Expression
ENSG00000243276,ENSG00000243276,ENSG00000243276,Gene Expression
IGSF11,ENSG00000144847,IGSF11,Gene Expression
B4GALT4,ENSG00000121578,B4GALT4,Gene Expression
TMEM39A,ENSG00000176142,TMEM39A,Gene Expression
POGLUT1,ENSG00000163389,POGLUT1,Gene Expression
TIMMDC1,ENSG00000113845,TIMMDC1,Gene Expression
CD80,ENSG00000121594,CD80,Gene Expression
POPDC2,ENSG00000121577,POPDC2,Gene Expression
COX17,ENSG00000138495,COX17,Gene Expression
GSK3B,ENSG00000082701,GSK3B,Gene Expression
GSK3B-DT,ENSG00000242622,GSK3B-DT,Gene Expression
LRRC58,ENSG00000163428,LRRC58,Gene Expression
NDUFB4,ENSG00000065518,NDUFB4,Gene Expression
RABL3,ENSG00000144840,RABL3,Gene Expression
GTF2E1,ENSG00000153767,GTF2E1,Gene Expression
ENSG00000287022,ENSG00000287022,ENSG00000287022,Gene Expression
POLQ,ENSG00000051341,POLQ,Gene Expression
HCLS1,ENSG00000180353,HCLS1,Gene Expression
GOLGB1,ENSG00000173230,GOLGB1,Gene Expression
IQCB1,ENSG00000173226,IQCB1,Gene Expression
EAF2,ENSG00000145088,EAF2,Gene Expression
MIX23,ENSG00000160124,MIX23,Gene Expression
FAM162A,ENSG00000114023,FAM162A,Gene Expression
WDR5B,ENSG00000196981,WDR5B,Gene Expression
WDR5B-DT,ENSG00000272758,WDR5B-DT,Gene Expression
KPNA1,ENSG00000114030,KPNA1,Gene Expression
PARP9,ENSG00000138496,PARP9,Gene Expression
DTX3L,ENSG00000163840,DTX3L,Gene Expression
PARP14,ENSG00000173193,PARP14,Gene Expression
HSPBAP1,ENSG00000169087,HSPBAP1,Gene Expression
SLC49A4,ENSG00000138463,SLC49A4,Gene Expression
PDIA5,ENSG00000065485,PDIA5,Gene Expression
SEC22A,ENSG00000121542,SEC22A,Gene Expression
HACD2,ENSG00000206527,HACD2,Gene Expression
MYLK-AS1,ENSG00000239523,MYLK-AS1,Gene Expression
MYLK,ENSG00000065534,MYLK,Gene Expression
CCDC14,ENSG00000175455,CCDC14,Gene Expression
KALRN,ENSG00000160145,KALRN,Gene Expression
UMPS,ENSG00000114491,UMPS,Gene Expression
ITGB5,ENSG00000082781,ITGB5,Gene Expression
SLC12A8,ENSG00000221955,SLC12A8,Gene Expression
ZNF148,ENSG00000163848,ZNF148,Gene Expression
SNX4,ENSG00000114520,SNX4,Gene Expression
OSBPL11,ENSG00000144909,OSBPL11,Gene Expression
ENSG00000291096,ENSG00000291096,ENSG00000291096,Gene Expression
SLC41A3,ENSG00000114544,SLC41A3,Gene Expression
SLC41A3-AS1,ENSG00000250012,SLC41A3-AS1,Gene Expression
ZXDC,ENSG00000070476,ZXDC,Gene Expression
TXNRD3,ENSG00000197763,TXNRD3,Gene Expression
CHCHD6,ENSG00000159685,CHCHD6,Gene Expression
PLXNA1,ENSG00000114554,PLXNA1,Gene Expression
TPRA1,ENSG00000163870,TPRA1,Gene Expression
MCM2,ENSG00000073111,MCM2,Gene Expression
PODXL2,ENSG00000114631,PODXL2,Gene Expression
ABTB1,ENSG00000114626,ABTB1,Gene Expression
MGLL,ENSG00000074416,MGLL,Gene Expression
SEC61A1,ENSG00000058262,SEC61A1,Gene Expression
RUVBL1,ENSG00000175792,RUVBL1,Gene Expression
EEFSEC,ENSG00000132394,EEFSEC,Gene Expression
GATA2,ENSG00000179348,GATA2,Gene Expression
GATA2-AS1,ENSG00000244300,GATA2-AS1,Gene Expression
RPN1,ENSG00000163902,RPN1,Gene Expression
RAB7A,ENSG00000075785,RAB7A,Gene Expression
ACAD9-DT,ENSG00000287110,ACAD9-DT,Gene Expression
ACAD9,ENSG00000177646,ACAD9,Gene Expression
RAB43,ENSG00000172780,RAB43,Gene Expression
ISY1,ENSG00000240682,ISY1,Gene Expression
CNBP,ENSG00000169714,CNBP,Gene Expression
ENSG00000289469,ENSG00000289469,ENSG00000289469,Gene Expression
COPG1,ENSG00000181789,COPG1,Gene Expression
HMCES,ENSG00000183624,HMCES,Gene Expression
H1-10,ENSG00000184897,H1-10,Gene Expression
ENSG00000290993,ENSG00000290993,ENSG00000290993,Gene Expression
EFCAB12,ENSG00000172771,EFCAB12,Gene Expression
IFT122,ENSG00000163913,IFT122,Gene Expression
MBD4,ENSG00000129071,MBD4,Gene Expression
TMCC1,ENSG00000172765,TMCC1,Gene Expression
TMCC1-DT,ENSG00000271270,TMCC1-DT,Gene Expression
ENSG00000291081,ENSG00000291081,ENSG00000291081,Gene Expression
ENSG00000288111,ENSG00000288111,ENSG00000288111,Gene Expression
COL6A5,ENSG00000172752,COL6A5,Gene Expression
PIK3R4,ENSG00000196455,PIK3R4,Gene Expression
ATP2C1,ENSG00000017260,ATP2C1,Gene Expression
ASTE1,ENSG00000034533,ASTE1,Gene Expression
NEK11,ENSG00000114670,NEK11,Gene Expression
ENSG00000250129,ENSG00000250129,ENSG00000250129,Gene Expression
NUDT16,ENSG00000198585,NUDT16,Gene Expression
MRPL3,ENSG00000114686,MRPL3,Gene Expression
DNAJC13,ENSG00000138246,DNAJC13,Gene Expression
ACAD11,ENSG00000240303,ACAD11,Gene Expression
UBA5,ENSG00000081307,UBA5,Gene Expression
NPHP3,ENSG00000113971,NPHP3,Gene Expression
CDV3,ENSG00000091527,CDV3,Gene Expression
TOPBP1,ENSG00000163781,TOPBP1,Gene Expression
ENSG00000291042,ENSG00000291042,ENSG00000291042,Gene Expression
TF,ENSG00000091513,TF,Gene Expression
SRPRB,ENSG00000144867,SRPRB,Gene Expression
RAB6B,ENSG00000154917,RAB6B,Gene Expression
RYK,ENSG00000163785,RYK,Gene Expression
ANAPC13,ENSG00000129055,ANAPC13,Gene Expression
CEP63,ENSG00000182923,CEP63,Gene Expression
ENSG00000240086,ENSG00000240086,ENSG00000240086,Gene Expression
MSL2,ENSG00000174579,MSL2,Gene Expression
PCCB,ENSG00000114054,PCCB,Gene Expression
STAG1,ENSG00000118007,STAG1,Gene Expression
SLC35G2,ENSG00000168917,SLC35G2,Gene Expression
NCK1-DT,ENSG00000239213,NCK1-DT,Gene Expression
NCK1,ENSG00000158092,NCK1,Gene Expression
IL20RB,ENSG00000174564,IL20RB,Gene Expression
DZIP1L,ENSG00000158163,DZIP1L,Gene Expression
DBR1,ENSG00000138231,DBR1,Gene Expression
ARMC8,ENSG00000114098,ARMC8,Gene Expression
MRAS,ENSG00000158186,MRAS,Gene Expression
CEP70,ENSG00000114107,CEP70,Gene Expression
FAIM,ENSG00000158234,FAIM,Gene Expression
PIK3CB,ENSG00000051382,PIK3CB,Gene Expression
FOXL2,ENSG00000183770,FOXL2,Gene Expression
FOXL2NB,ENSG00000206262,FOXL2NB,Gene Expression
MRPS22,ENSG00000175110,MRPS22,Gene Expression
ENSG00000286988,ENSG00000286988,ENSG00000286988,Gene Expression
COPB2,ENSG00000184432,COPB2,Gene Expression
COPB2-DT,ENSG00000248932,COPB2-DT,Gene Expression
NMNAT3,ENSG00000163864,NMNAT3,Gene Expression
CLSTN2,ENSG00000158258,CLSTN2,Gene Expression
SLC25A36,ENSG00000114120,SLC25A36,Gene Expression
PXYLP1,ENSG00000155893,PXYLP1,Gene Expression
ZBTB38,ENSG00000177311,ZBTB38,Gene Expression
RASA2,ENSG00000155903,RASA2,Gene Expression
RNF7,ENSG00000114125,RNF7,Gene Expression
ATP1B3,ENSG00000069849,ATP1B3,Gene Expression
TFDP2,ENSG00000114126,TFDP2,Gene Expression
GK5,ENSG00000175066,GK5,Gene Expression
XRN1,ENSG00000114127,XRN1,Gene Expression
ATR,ENSG00000175054,ATR,Gene Expression
PLS1,ENSG00000120756,PLS1,Gene Expression
TRPC1,ENSG00000144935,TRPC1,Gene Expression
U2SURP,ENSG00000163714,U2SURP,Gene Expression
ENSG00000268129,ENSG00000268129,ENSG00000268129,Gene Expression
CHST2,ENSG00000175040,CHST2,Gene Expression
DIPK2A,ENSG00000181744,DIPK2A,Gene Expression
PLOD2,ENSG00000152952,PLOD2,Gene Expression
PLSCR4,ENSG00000114698,PLSCR4,Gene Expression
PLSCR2,ENSG00000163746,PLSCR2,Gene Expression
PLSCR1,ENSG00000188313,PLSCR1,Gene Expression
ENSG00000243620,ENSG00000243620,ENSG00000243620,Gene Expression
ZIC1,ENSG00000152977,ZIC1,Gene Expression
GYG1,ENSG00000163754,GYG1,Gene Expression
HLTF,ENSG00000071794,HLTF,Gene Expression
HPS3,ENSG00000163755,HPS3,Gene Expression
TM4SF18-AS1,ENSG00000244468,TM4SF18-AS1,Gene Expression
TM4SF1,ENSG00000169908,TM4SF1,Gene Expression
COMMD2,ENSG00000114744,COMMD2,Gene Expression
RNF13,ENSG00000082996,RNF13,Gene Expression
ENSG00000243944,ENSG00000243944,ENSG00000243944,Gene Expression
TSC22D2,ENSG00000196428,TSC22D2,Gene Expression
SERP1,ENSG00000120742,SERP1,Gene Expression
EIF2A,ENSG00000144895,EIF2A,Gene Expression
SELENOT,ENSG00000198843,SELENOT,Gene Expression
SIAH2,ENSG00000181788,SIAH2,Gene Expression
MBNL1,ENSG00000152601,MBNL1,Gene Expression
P2RY1,ENSG00000169860,P2RY1,Gene Expression
RAP2B,ENSG00000181467,RAP2B,Gene Expression
DHX36,ENSG00000174953,DHX36,Gene Expression
MME,ENSG00000196549,MME,Gene Expression
C3orf33,ENSG00000174928,C3orf33,Gene Expression
SLC33A1,ENSG00000169359,SLC33A1,Gene Expression
ENSG00000286585,ENSG00000286585,ENSG00000286585,Gene Expression
GMPS,ENSG00000163655,GMPS,Gene Expression
SSR3,ENSG00000114850,SSR3,Gene Expression
TIPARP-AS1,ENSG00000243926,TIPARP-AS1,Gene Expression
TIPARP,ENSG00000163659,TIPARP,Gene Expression
LEKR1,ENSG00000197980,LEKR1,Gene Expression
LINC00881,ENSG00000241135,LINC00881,Gene Expression
CCNL1,ENSG00000163660,CCNL1,Gene Expression
ENSG00000243176,ENSG00000243176,ENSG00000243176,Gene Expression
VEPH1,ENSG00000197415,VEPH1,Gene Expression
SHOX2,ENSG00000168779,SHOX2,Gene Expression
RSRC1,ENSG00000174891,RSRC1,Gene Expression
MLF1,ENSG00000178053,MLF1,Gene Expression
GFM1,ENSG00000168827,GFM1,Gene Expression
MFSD1,ENSG00000118855,MFSD1,Gene Expression
IFT80,ENSG00000068885,IFT80,Gene Expression
SMC4,ENSG00000113810,SMC4,Gene Expression
TRIM59,ENSG00000213186,TRIM59,Gene Expression
KPNA4,ENSG00000186432,KPNA4,Gene Expression
B3GALNT1,ENSG00000169255,B3GALNT1,Gene Expression
NMD3,ENSG00000169251,NMD3,Gene Expression
LINC01192,ENSG00000241369,LINC01192,Gene Expression
PDCD10,ENSG00000114209,PDCD10,Gene Expression
SERPINI1,ENSG00000163536,SERPINI1,Gene Expression
GOLIM4,ENSG00000173905,GOLIM4,Gene Expression
MECOM,ENSG00000085276,MECOM,Gene Expression
MYNN,ENSG00000085274,MYNN,Gene Expression
ENSG00000269984,ENSG00000269984,ENSG00000269984,Gene Expression
SEC62,ENSG00000008952,SEC62,Gene Expression
GPR160,ENSG00000173890,GPR160,Gene Expression
PHC3,ENSG00000173889,PHC3,Gene Expression
PRKCI,ENSG00000163558,PRKCI,Gene Expression
SKIL,ENSG00000136603,SKIL,Gene Expression
RPL22L1,ENSG00000163584,RPL22L1,Gene Expression
EIF5A2,ENSG00000163577,EIF5A2,Gene Expression
TNIK,ENSG00000154310,TNIK,Gene Expression
ENSG00000240497,ENSG00000240497,ENSG00000240497,Gene Expression
PLD1,ENSG00000075651,PLD1,Gene Expression
FNDC3B,ENSG00000075420,FNDC3B,Gene Expression
NCEH1,ENSG00000144959,NCEH1,Gene Expression
ECT2,ENSG00000114346,ECT2,Gene Expression
NAALADL2,ENSG00000177694,NAALADL2,Gene Expression
TBL1XR1,ENSG00000177565,TBL1XR1,Gene Expression
KCNMB2,ENSG00000197584,KCNMB2,Gene Expression
KCNMB2-AS1,ENSG00000237978,KCNMB2-AS1,Gene Expression
ZMAT3,ENSG00000172667,ZMAT3,Gene Expression
PIK3CA,ENSG00000121879,PIK3CA,Gene Expression
KCNMB3,ENSG00000171121,KCNMB3,Gene Expression
ZNF639,ENSG00000121864,ZNF639,Gene Expression
MFN1,ENSG00000171109,MFN1,Gene Expression
GNB4,ENSG00000114450,GNB4,Gene Expression
ACTL6A,ENSG00000136518,ACTL6A,Gene Expression
MRPL47,ENSG00000136522,MRPL47,Gene Expression
NDUFB5,ENSG00000136521,NDUFB5,Gene Expression
USP13,ENSG00000058056,USP13,Gene Expression
TTC14,ENSG00000163728,TTC14,Gene Expression
ENSG00000285336,ENSG00000285336,ENSG00000285336,Gene Expression
FXR1,ENSG00000114416,FXR1,Gene Expression
DNAJC19,ENSG00000205981,DNAJC19,Gene Expression
SOX2-OT,ENSG00000242808,SOX2-OT,Gene Expression
ATP11B,ENSG00000058063,ATP11B,Gene Expression
DCUN1D1,ENSG00000043093,DCUN1D1,Gene Expression
MCCC1,ENSG00000078070,MCCC1,Gene Expression
MCF2L2,ENSG00000053524,MCF2L2,Gene Expression
B3GNT5,ENSG00000176597,B3GNT5,Gene Expression
ENSG00000289859,ENSG00000289859,ENSG00000289859,Gene Expression
LINC00888,ENSG00000291106,LINC00888,Gene Expression
KLHL6,ENSG00000172578,KLHL6,Gene Expression
KLHL24,ENSG00000114796,KLHL24,Gene Expression
YEATS2,ENSG00000163872,YEATS2,Gene Expression
PARL,ENSG00000175193,PARL,Gene Expression
ABCC5,ENSG00000114770,ABCC5,Gene Expression
EIF2B5-DT,ENSG00000272721,EIF2B5-DT,Gene Expression
EIF2B5,ENSG00000145191,EIF2B5,Gene Expression
DVL3,ENSG00000161202,DVL3,Gene Expression
AP2M1,ENSG00000161203,AP2M1,Gene Expression
ABCF3,ENSG00000161204,ABCF3,Gene Expression
ALG3,ENSG00000214160,ALG3,Gene Expression
EEF1AKMT4,ENSG00000284753,EEF1AKMT4,Gene Expression
PSMD2,ENSG00000175166,PSMD2,Gene Expression
EIF4G1,ENSG00000114867,EIF4G1,Gene Expression
FAM131A,ENSG00000175182,FAM131A,Gene Expression
CLCN2,ENSG00000114859,CLCN2,Gene Expression
POLR2H,ENSG00000163882,POLR2H,Gene Expression
MAGEF1,ENSG00000177383,MAGEF1,Gene Expression
VPS8,ENSG00000156931,VPS8,Gene Expression
EHHADH,ENSG00000113790,EHHADH,Gene Expression
TMEM41A,ENSG00000163900,TMEM41A,Gene Expression
LIPH,ENSG00000163898,LIPH,Gene Expression
SENP2,ENSG00000163904,SENP2,Gene Expression
IGF2BP2,ENSG00000073792,IGF2BP2,Gene Expression
TRA2B,ENSG00000136527,TRA2B,Gene Expression
ETV5,ENSG00000244405,ETV5,Gene Expression
DGKG,ENSG00000058866,DGKG,Gene Expression
TBCCD1,ENSG00000113838,TBCCD1,Gene Expression
DNAJB11,ENSG00000090520,DNAJB11,Gene Expression
ENSG00000263826,ENSG00000263826,ENSG00000263826,Gene Expression
EIF4A2,ENSG00000156976,EIF4A2,Gene Expression
RFC4,ENSG00000163918,RFC4,Gene Expression
ENSG00000289971,ENSG00000289971,ENSG00000289971,Gene Expression
ST6GAL1,ENSG00000073849,ST6GAL1,Gene Expression
RPL39L,ENSG00000163923,RPL39L,Gene Expression
BCL6,ENSG00000113916,BCL6,Gene Expression
ENSG00000289331,ENSG00000289331,ENSG00000289331,Gene Expression
LPP,ENSG00000145012,LPP,Gene Expression
TP63,ENSG00000073282,TP63,Gene Expression
CLDN16,ENSG00000113946,CLDN16,Gene Expression
TMEM207,ENSG00000198398,TMEM207,Gene Expression
IL1RAP,ENSG00000196083,IL1RAP,Gene Expression
CCDC50,ENSG00000152492,CCDC50,Gene Expression
PYDC2-AS1,ENSG00000223812,PYDC2-AS1,Gene Expression
PLAAT1,ENSG00000127252,PLAAT1,Gene Expression
OPA1,ENSG00000198836,OPA1,Gene Expression
HES1,ENSG00000114315,HES1,Gene Expression
ATP13A3,ENSG00000133657,ATP13A3,Gene Expression
ATP13A3-DT,ENSG00000233058,ATP13A3-DT,Gene Expression
TMEM44-AS1,ENSG00000231770,TMEM44-AS1,Gene Expression
TMEM44,ENSG00000145014,TMEM44,Gene Expression
TMEM44-AS2,ENSG00000229334,TMEM44-AS2,Gene Expression
LSG1,ENSG00000041802,LSG1,Gene Expression
FAM43A,ENSG00000185112,FAM43A,Gene Expression
XXYLT1,ENSG00000173950,XXYLT1,Gene Expression
ACAP2,ENSG00000114331,ACAP2,Gene Expression
PPP1R2,ENSG00000184203,PPP1R2,Gene Expression
ENSG00000289929,ENSG00000289929,ENSG00000289929,Gene Expression
ENSG00000229178,ENSG00000229178,ENSG00000229178,Gene Expression
MUC20,ENSG00000176945,MUC20,Gene Expression
MUC4,ENSG00000145113,MUC4,Gene Expression
TNK2,ENSG00000061938,TNK2,Gene Expression
ENSG00000290762,ENSG00000290762,ENSG00000290762,Gene Expression
SDHAP1,ENSG00000290763,SDHAP1,Gene Expression
TFRC,ENSG00000072274,TFRC,Gene Expression
LINC00885,ENSG00000224652,LINC00885,Gene Expression
ZDHHC19,ENSG00000163958,ZDHHC19,Gene Expression
PCYT1A,ENSG00000161217,PCYT1A,Gene Expression
DYNLT2B,ENSG00000213123,DYNLT2B,Gene Expression
TM4SF19,ENSG00000145107,TM4SF19,Gene Expression
UBXN7,ENSG00000163960,UBXN7,Gene Expression
RNF168,ENSG00000163961,RNF168,Gene Expression
WDR53,ENSG00000185798,WDR53,Gene Expression
FBXO45,ENSG00000174013,FBXO45,Gene Expression
LINC01063,ENSG00000232065,LINC01063,Gene Expression
NRROS,ENSG00000174004,NRROS,Gene Expression
PIGX,ENSG00000163964,PIGX,Gene Expression
CEP19,ENSG00000174007,CEP19,Gene Expression
PAK2,ENSG00000180370,PAK2,Gene Expression
SENP5,ENSG00000119231,SENP5,Gene Expression
NCBP2,ENSG00000114503,NCBP2,Gene Expression
NCBP2AS2,ENSG00000270170,NCBP2AS2,Gene Expression
PIGZ,ENSG00000119227,PIGZ,Gene Expression
MELTF,ENSG00000163975,MELTF,Gene Expression
MELTF-AS1,ENSG00000228109,MELTF-AS1,Gene Expression
